Metric,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,F,M,B,L
1/4/2011,16.06,17.38,20.61,23.19,25.8,0.924100,0.843300,0.749500,0.673600
1/5/2011,15.57,17.02,20.05,22.78,25.62,0.914800,0.848900,0.747100,0.664300
1/6/2011,15.71,17.4,20.35,22.87,25.61,0.902900,0.855000,0.760800,0.679400
1/7/2011,15.01,17.14,20.29,22.92,25.57,0.875700,0.844800,0.747800,0.670300
1/10/2011,15.81,17.54,20.48,22.93,25.81,0.901400,0.856400,0.764900,0.679600
1/11/2011,14.93,16.89,20.14,22.71,25.55,0.884000,0.838600,0.743700,0.661100
1/12/2011,14.82,16.24,19.23,21.94,24.72,0.912600,0.844500,0.740200,0.657000
1/13/2011,14.92,16.39,19.2,21.91,24.7,0.910300,0.853600,0.748100,0.663600
1/14/2011,14.3,15.46,18.37,21.33,24.48,0.925000,0.841600,0.724800,0.631500
1/18/2011,16.34,15.87,18.38,21.29,24.29,1.029600,0.863400,0.745400,0.653400
1/19/2011,17.74,17.31,19.64,22.04,24.76,1.024800,0.881400,0.785400,0.699100
1/20/2011,16.98,17.99,19.9,22.15,24.77,0.943900,0.904000,0.812200,0.726300
1/21/2011,17.32,18.47,19.97,22.25,24.92,0.937700,0.924900,0.830100,0.741200
1/24/2011,17.38,17.65,19.58,21.98,24.6,0.984700,0.901400,0.803000,0.717500
1/25/2011,17.75,17.59,19.34,21.82,24.18,1.009100,0.909500,0.806100,0.727500
1/26/2011,16.27,16.64,18.82,21.24,23.48,0.977800,0.884200,0.783400,0.708700
1/27/2011,15.07,16.15,18.48,20.83,23.04,0.933100,0.873900,0.775300,0.701000
1/28/2011,21.25,20.04,20.59,22.34,24.14,1.060400,0.973300,0.897000,0.830200
1/31/2011,20.5,19.53,20.15,21.88,23.9,1.049700,0.969200,0.892600,0.817200
2/1/2011,17.21,17.63,18.97,21.1,23.15,0.976200,0.929400,0.835500,0.761600
2/2/2011,16.83,17.3,19.09,21.22,23.21,0.972800,0.906200,0.815300,0.745400
2/3/2011,15.38,16.69,18.92,21,23.02,0.921500,0.882100,0.794800,0.725000
2/4/2011,14.19,15.93,18.33,20.6,22.82,0.890800,0.869100,0.773300,0.698100
2/7/2011,15.33,16.28,18.26,20.36,22.53,0.941600,0.891600,0.799600,0.722600
2/8/2011,14.56,15.81,17.85,20.08,22.01,0.920900,0.885700,0.787400,0.718300
2/9/2011,14.3,15.87,17.86,20.09,22.09,0.901100,0.888600,0.789900,0.718400
2/10/2011,14.53,16.09,18.1,20.16,22.06,0.903000,0.889000,0.798100,0.729400
2/11/2011,14.79,15.69,17.86,19.85,22.28,0.942600,0.878500,0.790400,0.704200
2/14/2011,16.16,15.95,17.94,20.03,22.44,1.013200,0.889100,0.796300,0.710800
2/15/2011,16.58,16.37,18.27,20.24,22.71,1.012800,0.896000,0.808800,0.720800
2/16/2011,16.87,16.72,18.32,20.33,22.53,1.009000,0.912700,0.822400,0.742100
2/17/2011,15.81,16.59,18.63,20.71,22.74,0.953000,0.890500,0.801100,0.729600
2/18/2011,14.92,16.43,18.9,20.92,23.02,0.908100,0.869300,0.785400,0.713700
2/22/2011,22.09,20.8,21.32,22.99,24.72,1.062000,0.975600,0.904700,0.841400
2/23/2011,22.77,22.13,22.47,23.88,25.3,1.028900,0.984900,0.926700,0.874700
2/24/2011,21.51,21.32,22.26,23.86,25.39,1.008900,0.957800,0.893500,0.839700
2/25/2011,18.47,19.22,20.57,22.71,24.46,0.961000,0.934400,0.846300,0.785800
2/28/2011,18.3,18.35,20,21.75,23.44,0.997300,0.917500,0.843700,0.782800
3/1/2011,21.59,21.01,21.9,23.31,24.54,1.027600,0.959400,0.901300,0.856200
3/2/2011,20.78,20.7,21.68,23.29,24.53,1.003900,0.954800,0.888800,0.843900
3/3/2011,16.85,18.6,20.44,22.29,23.8,0.905900,0.910000,0.834500,0.781500
3/4/2011,17.69,19.06,20.8,22.67,24.25,0.928100,0.916300,0.840800,0.786000
3/7/2011,20.97,20.66,21.85,23.46,24.79,1.015000,0.945500,0.880600,0.833400
3/8/2011,19.34,19.82,21.45,23.13,24.58,0.975800,0.924000,0.856900,0.806300
3/9/2011,19.93,20.22,21.82,23.47,24.86,0.985700,0.926700,0.861500,0.813400
3/10/2011,22.89,21.88,22.76,24.27,25.65,1.046200,0.961300,0.901500,0.853000
3/11/2011,19.4,20.08,21.87,23.69,25.24,0.966100,0.918200,0.847600,0.795600
3/14/2011,21.93,21.13,22.49,24,25.72,1.037900,0.939500,0.880400,0.821500
3/15/2011,25.9,24.32,24.03,25.27,26.5,1.065000,1.012100,0.962400,0.917700
3/16/2011,31.04,29.4,26.91,27.1,27.84,1.055800,1.092500,1.084900,1.056000
3/17/2011,28.62,26.37,25.44,26.09,26.96,1.085300,1.036600,1.010700,0.978100
3/18/2011,25.31,24.44,24.34,25.36,26.37,1.035600,1.004100,0.963700,0.926800
3/21/2011,21.02,20.61,21.95,23.45,24.61,1.019900,0.939000,0.878900,0.837500
3/22/2011,20.17,20.21,21.7,23.34,24.48,0.998000,0.931300,0.865900,0.825600
3/23/2011,19.06,19.17,20.93,22.75,24.34,0.994300,0.915900,0.842600,0.787600
3/24/2011,17.42,18,20.08,22.19,23.73,0.967800,0.896400,0.811200,0.758500
3/25/2011,17.49,17.91,20.03,22.15,23.78,0.976500,0.894200,0.808600,0.753200
3/28/2011,19.84,19.44,20.86,22.63,24.11,1.020600,0.931900,0.859000,0.806300
3/29/2011,17.46,18.16,19.97,22.05,23.69,0.961500,0.909400,0.823600,0.766600
3/30/2011,16.98,17.71,19.75,21.75,23.54,0.958800,0.896700,0.814300,0.752300
3/31/2011,16.31,17.74,19.84,21.93,23.58,0.919400,0.894200,0.808900,0.752300
4/1/2011,15.15,17.4,19.59,21.76,23.46,0.870700,0.888200,0.799600,0.741700
4/4/2011,16.72,17.5,19.39,21.66,23.31,0.955400,0.902500,0.807900,0.750800
4/5/2011,15.81,17.25,19.4,21.65,23.33,0.916500,0.889200,0.796800,0.739400
4/6/2011,15.21,16.9,19.38,21.63,23.47,0.900000,0.872000,0.781300,0.720100
4/7/2011,15.93,17.11,19.5,21.83,23.87,0.931000,0.877400,0.783800,0.716800
4/8/2011,17.21,17.87,20.05,22.32,24.29,0.963100,0.891300,0.800600,0.735700
4/11/2011,18.39,16.59,20.01,22.31,24.15,1.108500,0.829100,0.743600,0.687000
4/12/2011,18.93,17.09,20.33,22.63,24.4,1.107700,0.840600,0.755200,0.700400
4/13/2011,17.97,16.92,19.99,22.36,24.23,1.062100,0.846400,0.756700,0.698300
4/14/2011,15.99,16.27,19.96,22.34,24.35,0.982800,0.815100,0.728300,0.668200
4/15/2011,14.28,15.32,19.17,21.88,23.86,0.932100,0.799200,0.700200,0.642100
4/18/2011,17.63,16.96,19.92,22.49,24.42,1.039500,0.851400,0.754100,0.694500
4/19/2011,15.91,15.83,19.18,21.97,23.94,1.005100,0.825300,0.720500,0.661200
4/20/2011,15.04,15.07,18.48,21.37,23.37,0.998000,0.815500,0.705200,0.644800
4/21/2011,13.03,14.69,18.35,21.21,23.34,0.887000,0.800500,0.692600,0.629400
4/25/2011,15.05,15.77,18.55,21.36,23.35,0.954300,0.850100,0.738300,0.675400
4/26/2011,15.16,15.62,18.27,20.96,23.2,0.970600,0.855000,0.745200,0.673300
4/27/2011,14.61,15.35,17.9,20.64,22.89,0.951800,0.857500,0.743700,0.670600
4/28/2011,12.81,14.62,17.52,20.29,22.62,0.876200,0.834500,0.720600,0.646300
4/29/2011,13.09,14.75,17.5,20.25,22.45,0.887500,0.842900,0.728400,0.657000
5/2/2011,15.16,15.99,18.39,21.06,22.9,0.948100,0.869500,0.759300,0.698300
5/3/2011,15.71,16.7,19.11,21.49,23.25,0.940700,0.873900,0.777100,0.718300
5/4/2011,16.37,17.08,19.44,21.82,23.5,0.958400,0.878600,0.782800,0.726800
5/5/2011,18.87,18.2,19.84,22.1,23.74,1.036800,0.917300,0.823500,0.766600
5/6/2011,18.89,18.4,19.91,22.04,23.76,1.026600,0.924200,0.834800,0.774400
5/9/2011,16.56,17.16,19.2,21.59,23.45,0.965000,0.893800,0.794800,0.731800
5/10/2011,14.58,15.91,18.37,21.05,23.04,0.916400,0.866100,0.755800,0.690500
